Station,Heure,Jour,Meteo,Affluence
Nanterre-Préfecture,15,Mardi,Soleil,136
Châtelet-Les Halles,18,Samedi,Nuageux,842
Saint-Denis (Stade),13,Mardi,Nuageux,156
Créteil-Préfecture,14,Vendredi,Soleil,218
Aéroport CDG 2,8,Dimanche,Nuageux,182
Nation,6,Samedi,Soleil,115
Vincennes,10,Mardi,Soleil,112
Versailles-Chantiers,7,Mardi,Pluie,232
Vincennes,17,Mercredi,Pluie,709
République,16,Lundi,Soleil,200
Versailles-Chantiers,22,Lundi,Soleil,214
République,10,Mardi,Soleil,46
Bercy,14,Jeudi,Soleil,141
Aéroport d'Orly,10,Mardi,Soleil,214
Nanterre-Préfecture,9,Vendredi,Pluie,375
Versailles-Chantiers,19,Mercredi,Soleil,832
République,19,Mardi,Pluie,1066
La Défense,16,Dimanche,Nuageux,215
Aéroport d'Orly,13,Lundi,Soleil,131
Nanterre-Préfecture,17,Mardi,Pluie,863
Val de Fontenay,20,Samedi,Pluie,234
Saint-Lazare,6,Mercredi,Nuageux,44
Gare du Nord,21,Dimanche,Nuageux,316
Auber / Opéra,13,Mercredi,Nuageux,186
Juvisy,23,Jeudi,Soleil,215
Gare du Nord,10,Jeudi,Soleil,309
Massy-Palaiseau,8,Jeudi,Soleil,262
Val de Fontenay,19,Mardi,Nuageux,915
Neuilly-Plaisance,22,Lundi,Pluie,151
Aéroport CDG 2,16,Vendredi,Pluie,322
Saint-Denis (Stade),16,Lundi,Nuageux,127
Boulogne - Pont de Sèvres,21,Dimanche,Soleil,68
Nanterre-Préfecture,11,Mercredi,Pluie,76
Auber / Opéra,9,Lundi,Pluie,536
Aéroport d'Orly,16,Mardi,Pluie,288
Saint-Lazare,21,Jeudi,Pluie,427
Versailles-Chantiers,6,Lundi,Soleil,34
Boulogne - Pont de Sèvres,8,Mercredi,Soleil,177
Châtelet-Les Halles,6,Dimanche,Soleil,192
Massy-Palaiseau,18,Mercredi,Pluie,958
Val de Fontenay,18,Dimanche,Soleil,415
Saint-Denis (Stade),17,Vendredi,Pluie,910
Juvisy,21,Lundi,Soleil,339
Versailles-Chantiers,21,Mardi,Pluie,257
Massy-Palaiseau,22,Mercredi,Nuageux,254
Auber / Opéra,7,Vendredi,Soleil,311
Massy-Palaiseau,20,Dimanche,Nuageux,81
Aéroport d'Orly,23,Dimanche,Soleil,194
République,10,Dimanche,Nuageux,88
Massy-Palaiseau,10,Samedi,Nuageux,33
Aéroport d'Orly,22,Dimanche,Nuageux,257
Saint-Denis (Stade),13,Mercredi,Soleil,211
Saint-Denis (Stade),22,Vendredi,Pluie,312
Nation,10,Mercredi,Pluie,211
Massy-Palaiseau,13,Mardi,Pluie,223
Auber / Opéra,22,Mardi,Soleil,394
Châtelet-Les Halles,20,Mercredi,Pluie,614
Noisy-le-Grand,17,Samedi,Soleil,430
Créteil-Préfecture,15,Samedi,Pluie,139
Aéroport CDG 2,12,Jeudi,Nuageux,301
Boulogne - Pont de Sèvres,21,Mardi,Nuageux,188
Aéroport CDG 2,13,Mardi,Nuageux,207
Massy-Palaiseau,10,Vendredi,Soleil,120
Noisy-le-Grand,5,Dimanche,Nuageux,11
Cergy-Préfecture,5,Vendredi,Nuageux,67
Nation,17,Lundi,Pluie,1070
Aéroport CDG 2,11,Lundi,Soleil,221
Juvisy,14,Mardi,Pluie,154
Châtelet-Les Halles,22,Samedi,Nuageux,244
Marne-la-Vallée (Chessy),10,Mardi,Nuageux,190
Aéroport CDG 2,17,Dimanche,Pluie,706
Vincennes,9,Mercredi,Soleil,252
Juvisy,19,Jeudi,Soleil,836
Gare du Nord,16,Mercredi,Pluie,501
Saint-Denis (Stade),15,Samedi,Pluie,191
Massy-Palaiseau,12,Samedi,Soleil,42
Juvisy,9,Mardi,Nuageux,246
Saint-Lazare,12,Vendredi,Nuageux,269
Aéroport CDG 2,9,Lundi,Soleil,490
Gare de Lyon,14,Samedi,Pluie,239
Châtelet-Les Halles,19,Jeudi,Nuageux,1582
Nation,10,Vendredi,Soleil,209
Créteil-Préfecture,22,Mardi,Nuageux,277
Auber / Opéra,7,Jeudi,Pluie,480
La Défense,13,Samedi,Nuageux,150
Bercy,14,Jeudi,Soleil,179
Bercy,11,Lundi,Pluie,141
Aéroport CDG 2,23,Jeudi,Soleil,452
Marne-la-Vallée (Chessy),6,Mardi,Soleil,56
Gare du Nord,12,Dimanche,Nuageux,106
Châtelet-Les Halles,11,Dimanche,Soleil,162
Créteil-Préfecture,9,Lundi,Soleil,303
Créteil-Préfecture,8,Mardi,Nuageux,215
Juvisy,15,Jeudi,Nuageux,92
Auber / Opéra,14,Samedi,Nuageux,69
Nation,5,Mardi,Pluie,124
Châtelet-Les Halles,8,Vendredi,Nuageux,638
Nanterre-Préfecture,10,Jeudi,Nuageux,117
Créteil-Préfecture,22,Samedi,Pluie,183
La Défense,17,Mercredi,Pluie,1582
Boulogne - Pont de Sèvres,17,Mercredi,Nuageux,554
Créteil-Préfecture,5,Dimanche,Nuageux,64
Nation,8,Vendredi,Nuageux,342
Saint-Denis (Stade),8,Mercredi,Soleil,348
Nanterre-Préfecture,22,Mercredi,Nuageux,214
Vincennes,22,Lundi,Nuageux,177
Montparnasse,22,Samedi,Nuageux,229
La Défense,19,Samedi,Pluie,1025
Aéroport CDG 2,22,Mardi,Soleil,359
Châtelet-Les Halles,19,Dimanche,Nuageux,883
Vincennes,21,Samedi,Nuageux,94
Nation,9,Jeudi,Nuageux,359
Gare du Nord,15,Dimanche,Pluie,253
La Défense,20,Samedi,Nuageux,224
Boulogne - Pont de Sèvres,6,Mercredi,Nuageux,160
Marne-la-Vallée (Chessy),21,Jeudi,Pluie,360
Boulogne - Pont de Sèvres,5,Vendredi,Pluie,106
Marne-la-Vallée (Chessy),22,Mercredi,Pluie,339
Val de Fontenay,21,Lundi,Pluie,349
Cergy-Préfecture,22,Jeudi,Pluie,318
Gare de Lyon,23,Vendredi,Pluie,546
Aéroport d'Orly,9,Lundi,Pluie,499
Montparnasse,17,Samedi,Pluie,791
Saint-Denis (Stade),10,Samedi,Pluie,126
Versailles-Chantiers,17,Mardi,Nuageux,715
Marne-la-Vallée (Chessy),22,Vendredi,Soleil,255
Créteil-Préfecture,8,Lundi,Nuageux,278
Cergy-Préfecture,13,Jeudi,Pluie,139
Juvisy,7,Dimanche,Nuageux,162
Auber / Opéra,12,Dimanche,Pluie,117
Bercy,17,Lundi,Soleil,657
Auber / Opéra,15,Vendredi,Soleil,264
Châtelet-Les Halles,14,Mardi,Pluie,352
Créteil-Préfecture,15,Mardi,Pluie,171
Versailles-Chantiers,7,Dimanche,Nuageux,136
Aéroport CDG 2,18,Vendredi,Nuageux,1050
Cergy-Préfecture,18,Samedi,Pluie,641
Aéroport CDG 2,23,Jeudi,Soleil,462
Gare de Lyon,8,Mardi,Nuageux,438
Juvisy,5,Mercredi,Nuageux,16
Gare du Nord,6,Samedi,Soleil,96
Châtelet-Les Halles,10,Mercredi,Soleil,250
Vincennes,17,Mardi,Nuageux,590
Montparnasse,18,Jeudi,Pluie,1153
Aéroport d'Orly,5,Jeudi,Soleil,36
Val de Fontenay,12,Jeudi,Nuageux,164
Bercy,22,Jeudi,Pluie,272
Gare du Nord,18,Jeudi,Pluie,1710
La Défense,6,Lundi,Pluie,121
Créteil-Préfecture,16,Mardi,Nuageux,187
Créteil-Préfecture,5,Dimanche,Nuageux,123
Neuilly-Plaisance,19,Vendredi,Soleil,584
Aéroport d'Orly,15,Samedi,Soleil,162
Montparnasse,22,Mercredi,Pluie,479
Montparnasse,21,Mardi,Pluie,359
Saint-Lazare,7,Dimanche,Nuageux,195
République,19,Dimanche,Nuageux,549
Gare du Nord,17,Mercredi,Soleil,1370
Versailles-Chantiers,7,Mardi,Soleil,164
Neuilly-Plaisance,17,Mardi,Nuageux,548
La Défense,13,Mercredi,Pluie,256
Aéroport d'Orly,14,Dimanche,Pluie,76
Saint-Denis (Stade),5,Dimanche,Soleil,10
Neuilly-Plaisance,6,Jeudi,Soleil,49
Boulogne - Pont de Sèvres,18,Mercredi,Pluie,798
Massy-Palaiseau,9,Mercredi,Nuageux,347
Bercy,14,Dimanche,Pluie,144
Boulogne - Pont de Sèvres,23,Mercredi,Pluie,209
Marne-la-Vallée (Chessy),12,Dimanche,Pluie,85
Créteil-Préfecture,17,Jeudi,Soleil,609
Massy-Palaiseau,13,Mardi,Pluie,184
Juvisy,22,Vendredi,Pluie,340
Aéroport CDG 2,8,Vendredi,Pluie,507
Massy-Palaiseau,12,Mardi,Pluie,242
Marne-la-Vallée (Chessy),9,Mercredi,Nuageux,343
République,10,Mardi,Nuageux,72
Nation,9,Dimanche,Soleil,343
Gare du Nord,5,Lundi,Pluie,98
Noisy-le-Grand,23,Mardi,Nuageux,193
Nanterre-Préfecture,8,Lundi,Soleil,248
Auber / Opéra,5,Samedi,Pluie,87
République,23,Samedi,Pluie,261
Saint-Denis (Stade),8,Vendredi,Pluie,393
Saint-Denis (Stade),18,Vendredi,Pluie,994
Val de Fontenay,18,Vendredi,Nuageux,860
Marne-la-Vallée (Chessy),13,Mercredi,Nuageux,147
Gare de Lyon,23,Lundi,Pluie,533
Noisy-le-Grand,15,Lundi,Pluie,261
Gare du Nord,20,Lundi,Soleil,450
Créteil-Préfecture,23,Mardi,Nuageux,257
Montparnasse,8,Mercredi,Pluie,631
Val de Fontenay,13,Samedi,Soleil,138
Saint-Lazare,21,Dimanche,Soleil,190
Juvisy,19,Vendredi,Pluie,967
Versailles-Chantiers,12,Samedi,Nuageux,91
Bercy,17,Mardi,Soleil,758
Gare de Lyon,5,Mercredi,Soleil,20
République,6,Dimanche,Soleil,27
Saint-Lazare,14,Vendredi,Soleil,323
Gare du Nord,17,Lundi,Soleil,1278
Massy-Palaiseau,15,Lundi,Pluie,232
Montparnasse,18,Samedi,Soleil,643
Nanterre-Préfecture,20,Lundi,Nuageux,131
Saint-Lazare,10,Jeudi,Nuageux,197
Neuilly-Plaisance,6,Lundi,Soleil,63
Créteil-Préfecture,9,Vendredi,Soleil,319
Versailles-Chantiers,23,Mardi,Soleil,237
Bercy,11,Dimanche,Pluie,138
Saint-Denis (Stade),21,Mardi,Soleil,252
Versailles-Chantiers,9,Jeudi,Pluie,350
Nanterre-Préfecture,16,Jeudi,Soleil,244
Saint-Lazare,23,Vendredi,Pluie,525
Nation,22,Mercredi,Pluie,362
Gare du Nord,16,Jeudi,Soleil,305
Neuilly-Plaisance,7,Samedi,Soleil,97
Noisy-le-Grand,8,Jeudi,Soleil,316
Nanterre-Préfecture,19,Vendredi,Soleil,801
Versailles-Chantiers,19,Samedi,Pluie,517
Auber / Opéra,15,Mardi,Soleil,188
Bercy,6,Vendredi,Nuageux,98
Noisy-le-Grand,22,Lundi,Nuageux,346
Massy-Palaiseau,7,Mercredi,Soleil,249
Versailles-Chantiers,22,Dimanche,Pluie,272
Marne-la-Vallée (Chessy),18,Jeudi,Nuageux,876
Gare du Nord,10,Mercredi,Pluie,167
Saint-Denis (Stade),6,Vendredi,Soleil,19
Val de Fontenay,5,Mardi,Soleil,54
Châtelet-Les Halles,12,Mercredi,Soleil,338
Aéroport CDG 2,14,Jeudi,Nuageux,252
Versailles-Chantiers,22,Lundi,Soleil,319
Gare de Lyon,15,Mercredi,Pluie,314
Aéroport CDG 2,22,Vendredi,Pluie,407
Versailles-Chantiers,20,Samedi,Pluie,180
Val de Fontenay,9,Vendredi,Soleil,323
Nation,11,Mercredi,Pluie,225
Val de Fontenay,6,Vendredi,Nuageux,61
Gare de Lyon,15,Samedi,Nuageux,198
Massy-Palaiseau,17,Mercredi,Pluie,946
Auber / Opéra,20,Mercredi,Nuageux,363
Nation,18,Mardi,Pluie,1143
La Défense,11,Vendredi,Nuageux,207
Saint-Denis (Stade),11,Samedi,Nuageux,118
Gare du Nord,16,Mardi,Soleil,208
Créteil-Préfecture,16,Samedi,Pluie,89
Vincennes,5,Vendredi,Pluie,3
Boulogne - Pont de Sèvres,10,Dimanche,Nuageux,65
Saint-Denis (Stade),12,Mardi,Nuageux,143
Saint-Denis (Stade),17,Lundi,Soleil,817
Montparnasse,9,Dimanche,Pluie,285
Boulogne - Pont de Sèvres,14,Vendredi,Soleil,201
Châtelet-Les Halles,18,Mardi,Nuageux,1487
Gare de Lyon,13,Samedi,Nuageux,181
Vincennes,21,Lundi,Soleil,240
Aéroport d'Orly,7,Lundi,Nuageux,305
Aéroport CDG 2,16,Samedi,Nuageux,127
La Défense,16,Lundi,Pluie,440
Aéroport d'Orly,15,Mardi,Nuageux,204
Val de Fontenay,8,Lundi,Pluie,305
Massy-Palaiseau,12,Dimanche,Nuageux,81
Noisy-le-Grand,14,Jeudi,Pluie,282
Val de Fontenay,18,Vendredi,Nuageux,746
Gare du Nord,5,Jeudi,Pluie,15
République,16,Jeudi,Pluie,251
Gare du Nord,9,Dimanche,Pluie,454
Versailles-Chantiers,18,Vendredi,Pluie,1043
République,8,Jeudi,Soleil,323
République,21,Lundi,Pluie,314
Nation,17,Mercredi,Nuageux,867
Massy-Palaiseau,7,Jeudi,Soleil,258
Châtelet-Les Halles,15,Samedi,Nuageux,206
Nanterre-Préfecture,15,Dimanche,Nuageux,133
Val de Fontenay,9,Vendredi,Soleil,386
Nation,10,Mardi,Pluie,239
Bercy,8,Mardi,Soleil,272
Nanterre-Préfecture,14,Lundi,Nuageux,217
Auber / Opéra,14,Jeudi,Soleil,304
La Défense,16,Mercredi,Pluie,378
La Défense,22,Mardi,Pluie,668
Juvisy,19,Mercredi,Soleil,748
Montparnasse,22,Samedi,Nuageux,203
Neuilly-Plaisance,7,Lundi,Pluie,309
Neuilly-Plaisance,7,Samedi,Pluie,169
Aéroport CDG 2,5,Vendredi,Nuageux,141
Saint-Lazare,21,Vendredi,Soleil,390
Gare du Nord,14,Lundi,Pluie,440
Neuilly-Plaisance,10,Samedi,Nuageux,87
Aéroport CDG 2,15,Mercredi,Soleil,189
Montparnasse,18,Dimanche,Nuageux,596
Neuilly-Plaisance,21,Samedi,Nuageux,71
Massy-Palaiseau,11,Mercredi,Nuageux,106
Massy-Palaiseau,8,Mercredi,Soleil,399
Bercy,15,Dimanche,Soleil,158
Nanterre-Préfecture,23,Lundi,Nuageux,241
Créteil-Préfecture,13,Mardi,Soleil,173
Massy-Palaiseau,12,Mardi,Nuageux,177
Vincennes,8,Jeudi,Soleil,237
Neuilly-Plaisance,20,Vendredi,Nuageux,193
Cergy-Préfecture,10,Samedi,Pluie,96
Boulogne - Pont de Sèvres,10,Vendredi,Nuageux,131
Aéroport CDG 2,23,Jeudi,Soleil,356
Nation,6,Mercredi,Pluie,58
Versailles-Chantiers,15,Lundi,Pluie,120
Massy-Palaiseau,22,Vendredi,Nuageux,299
Créteil-Préfecture,13,Mercredi,Pluie,169
Montparnasse,20,Mardi,Pluie,510
Saint-Denis (Stade),15,Mercredi,Nuageux,233
Cergy-Préfecture,18,Jeudi,Pluie,896
Saint-Lazare,12,Lundi,Nuageux,231
Nation,17,Samedi,Pluie,695
Nanterre-Préfecture,14,Vendredi,Soleil,154
Juvisy,16,Jeudi,Nuageux,140
Nanterre-Préfecture,7,Mardi,Soleil,171
Neuilly-Plaisance,6,Dimanche,Soleil,90
Vincennes,15,Mardi,Nuageux,220
République,22,Dimanche,Pluie,188
Noisy-le-Grand,8,Samedi,Nuageux,174
Vincennes,12,Lundi,Pluie,127
Bercy,15,Samedi,Nuageux,231
Cergy-Préfecture,19,Samedi,Nuageux,457
Auber / Opéra,6,Dimanche,Soleil,78
Massy-Palaiseau,23,Dimanche,Nuageux,226
Créteil-Préfecture,19,Samedi,Soleil,457
Versailles-Chantiers,17,Vendredi,Soleil,747
Saint-Denis (Stade),6,Mardi,Soleil,53
Auber / Opéra,7,Jeudi,Soleil,386
Marne-la-Vallée (Chessy),18,Mardi,Nuageux,904
Vincennes,17,Vendredi,Soleil,650
Versailles-Chantiers,20,Mercredi,Pluie,214
Auber / Opéra,16,Mardi,Pluie,230
République,5,Mardi,Soleil,77
Aéroport CDG 2,10,Mardi,Pluie,128
Cergy-Préfecture,17,Mercredi,Pluie,848
Nation,6,Vendredi,Pluie,173
Juvisy,22,Jeudi,Soleil,262
Créteil-Préfecture,21,Vendredi,Pluie,202
Juvisy,23,Lundi,Nuageux,196
Aéroport d'Orly,19,Samedi,Nuageux,597
Auber / Opéra,12,Jeudi,Pluie,237
La Défense,13,Mercredi,Nuageux,325
Juvisy,12,Lundi,Nuageux,130
Bercy,12,Mardi,Nuageux,42
Auber / Opéra,15,Mardi,Soleil,345
Massy-Palaiseau,22,Samedi,Soleil,158
Marne-la-Vallée (Chessy),21,Vendredi,Pluie,282
Boulogne - Pont de Sèvres,10,Mercredi,Nuageux,140
La Défense,6,Mercredi,Nuageux,183
Neuilly-Plaisance,5,Mardi,Soleil,120
Noisy-le-Grand,14,Mardi,Soleil,140
Gare du Nord,12,Samedi,Pluie,116
La Défense,20,Samedi,Pluie,334
Montparnasse,18,Samedi,Pluie,768
Val de Fontenay,20,Mercredi,Pluie,262
Nation,18,Mercredi,Soleil,920
Créteil-Préfecture,11,Vendredi,Soleil,87
Créteil-Préfecture,22,Mardi,Nuageux,256
Neuilly-Plaisance,13,Mercredi,Soleil,127
Auber / Opéra,8,Dimanche,Soleil,269
Vincennes,20,Lundi,Nuageux,140
Boulogne - Pont de Sèvres,15,Lundi,Nuageux,163
Massy-Palaiseau,13,Dimanche,Nuageux,106
Gare de Lyon,21,Lundi,Nuageux,517
Saint-Denis (Stade),15,Dimanche,Soleil,89
Nanterre-Préfecture,7,Jeudi,Nuageux,223
Noisy-le-Grand,15,Lundi,Nuageux,200
Juvisy,12,Dimanche,Nuageux,90
Châtelet-Les Halles,14,Mercredi,Soleil,196
Cergy-Préfecture,10,Jeudi,Nuageux,81
Noisy-le-Grand,21,Dimanche,Pluie,194
Bercy,10,Samedi,Nuageux,41
Neuilly-Plaisance,11,Mardi,Soleil,113
Gare du Nord,17,Mercredi,Nuageux,1413
Créteil-Préfecture,10,Lundi,Nuageux,31
La Défense,7,Samedi,Nuageux,284
Bercy,17,Samedi,Nuageux,384
Gare du Nord,14,Mardi,Soleil,343
Créteil-Préfecture,8,Samedi,Soleil,279
Noisy-le-Grand,9,Lundi,Nuageux,226
Noisy-le-Grand,23,Vendredi,Nuageux,146
Juvisy,22,Jeudi,Soleil,157
La Défense,11,Samedi,Pluie,259
Auber / Opéra,5,Mardi,Nuageux,2
Marne-la-Vallée (Chessy),21,Lundi,Nuageux,254
Aéroport d'Orly,22,Vendredi,Soleil,336
Massy-Palaiseau,9,Jeudi,Nuageux,363
Versailles-Chantiers,10,Lundi,Pluie,121
Neuilly-Plaisance,14,Mercredi,Pluie,159
Nanterre-Préfecture,23,Vendredi,Soleil,297
Cergy-Préfecture,14,Mardi,Pluie,185
Boulogne - Pont de Sèvres,10,Lundi,Pluie,101
Neuilly-Plaisance,14,Mardi,Soleil,144
Vincennes,14,Mercredi,Nuageux,223
Nanterre-Préfecture,16,Mardi,Soleil,156
Bercy,8,Vendredi,Nuageux,256
Nanterre-Préfecture,17,Jeudi,Soleil,684
Auber / Opéra,14,Dimanche,Soleil,121
Aéroport d'Orly,20,Dimanche,Soleil,165
Montparnasse,23,Lundi,Nuageux,393
Châtelet-Les Halles,10,Dimanche,Nuageux,31
Massy-Palaiseau,13,Samedi,Soleil,13
La Défense,18,Jeudi,Pluie,1508
Noisy-le-Grand,14,Lundi,Nuageux,154
Marne-la-Vallée (Chessy),12,Dimanche,Soleil,47
Boulogne - Pont de Sèvres,7,Mardi,Nuageux,229
Juvisy,21,Mardi,Pluie,329
Gare de Lyon,23,Dimanche,Nuageux,278
Juvisy,7,Vendredi,Soleil,364
Montparnasse,18,Mardi,Pluie,1279
Nanterre-Préfecture,10,Mercredi,Pluie,133
Cergy-Préfecture,23,Vendredi,Nuageux,302
Châtelet-Les Halles,22,Lundi,Soleil,516
Versailles-Chantiers,16,Mardi,Pluie,257
Marne-la-Vallée (Chessy),19,Lundi,Pluie,1079
Vincennes,10,Mardi,Soleil,32
République,16,Vendredi,Soleil,241
Vincennes,23,Samedi,Pluie,184
Massy-Palaiseau,11,Mercredi,Soleil,159
Nanterre-Préfecture,14,Lundi,Pluie,267
Boulogne - Pont de Sèvres,22,Jeudi,Soleil,267
Gare de Lyon,6,Mardi,Soleil,96
Neuilly-Plaisance,17,Vendredi,Pluie,605
Montparnasse,19,Dimanche,Pluie,777
Montparnasse,8,Lundi,Pluie,493
Val de Fontenay,11,Dimanche,Soleil,18
Saint-Lazare,7,Vendredi,Nuageux,357
Auber / Opéra,20,Lundi,Soleil,332
Boulogne - Pont de Sèvres,13,Mercredi,Pluie,66
Marne-la-Vallée (Chessy),21,Dimanche,Pluie,129
Boulogne - Pont de Sèvres,12,Samedi,Pluie,88
Val de Fontenay,22,Mardi,Nuageux,259
Noisy-le-Grand,17,Dimanche,Nuageux,447
Gare du Nord,6,Lundi,Nuageux,176
Nanterre-Préfecture,5,Dimanche,Nuageux,21
Auber / Opéra,20,Jeudi,Soleil,258
Aéroport d'Orly,20,Mardi,Pluie,306
Gare de Lyon,15,Mardi,Soleil,305
Nation,8,Vendredi,Soleil,328
Aéroport d'Orly,15,Mardi,Nuageux,229
Saint-Denis (Stade),10,Lundi,Soleil,99
Versailles-Chantiers,15,Mercredi,Soleil,181
Aéroport CDG 2,5,Lundi,Soleil,131
Noisy-le-Grand,13,Samedi,Nuageux,50
Marne-la-Vallée (Chessy),11,Mardi,Soleil,155
Bercy,7,Jeudi,Pluie,334
Val de Fontenay,13,Samedi,Soleil,111
Gare du Nord,6,Jeudi,Soleil,185
Nanterre-Préfecture,14,Samedi,Soleil,67
République,21,Lundi,Pluie,333
Massy-Palaiseau,5,Lundi,Nuageux,16
La Défense,22,Lundi,Pluie,521
Boulogne - Pont de Sèvres,10,Lundi,Pluie,66
Saint-Lazare,10,Dimanche,Pluie,88
Montparnasse,13,Vendredi,Soleil,219
Montparnasse,14,Lundi,Pluie,187
Saint-Denis (Stade),19,Vendredi,Nuageux,813
Vincennes,8,Mardi,Soleil,266
Créteil-Préfecture,12,Lundi,Soleil,144
Massy-Palaiseau,8,Dimanche,Soleil,174
République,7,Lundi,Pluie,357
La Défense,8,Dimanche,Nuageux,325
Aéroport d'Orly,5,Jeudi,Soleil,90
Massy-Palaiseau,13,Mardi,Soleil,165
Bercy,15,Mardi,Nuageux,128
La Défense,23,Lundi,Nuageux,492
Juvisy,11,Dimanche,Pluie,196
Juvisy,9,Mardi,Nuageux,349
Massy-Palaiseau,6,Mercredi,Soleil,108
Boulogne - Pont de Sèvres,23,Samedi,Pluie,246
La Défense,7,Jeudi,Nuageux,438
La Défense,19,Mardi,Pluie,1659
Saint-Lazare,11,Mercredi,Pluie,183
Noisy-le-Grand,9,Dimanche,Nuageux,155
Boulogne - Pont de Sèvres,14,Lundi,Soleil,113
Vincennes,13,Jeudi,Nuageux,204
Nanterre-Préfecture,18,Samedi,Pluie,388
République,17,Jeudi,Soleil,781
Gare de Lyon,5,Jeudi,Soleil,44
Marne-la-Vallée (Chessy),20,Mercredi,Nuageux,227
Montparnasse,12,Vendredi,Pluie,245
Gare du Nord,21,Jeudi,Soleil,415
Val de Fontenay,10,Mercredi,Pluie,109
République,6,Samedi,Pluie,19
Boulogne - Pont de Sèvres,17,Dimanche,Soleil,374
La Défense,12,Vendredi,Nuageux,149
République,13,Dimanche,Soleil,101
La Défense,17,Mercredi,Soleil,1252
Nanterre-Préfecture,22,Mercredi,Nuageux,303
Gare du Nord,22,Mercredi,Nuageux,517
Neuilly-Plaisance,13,Jeudi,Pluie,178
Bercy,6,Lundi,Pluie,116
République,8,Samedi,Pluie,185
Vincennes,22,Jeudi,Pluie,210
Nation,21,Samedi,Pluie,245
Nanterre-Préfecture,16,Samedi,Pluie,128
Montparnasse,20,Jeudi,Nuageux,345
Val de Fontenay,17,Jeudi,Soleil,818
Gare du Nord,15,Jeudi,Pluie,406
Boulogne - Pont de Sèvres,18,Vendredi,Nuageux,580
Vincennes,14,Vendredi,Soleil,157
Saint-Lazare,23,Mercredi,Pluie,483
Nation,21,Mardi,Nuageux,411
Montparnasse,13,Samedi,Nuageux,240
Cergy-Préfecture,18,Mardi,Soleil,757
Juvisy,9,Lundi,Soleil,291
Saint-Lazare,7,Dimanche,Nuageux,263
Montparnasse,12,Mercredi,Pluie,290
Cergy-Préfecture,22,Samedi,Pluie,205
Noisy-le-Grand,7,Lundi,Nuageux,197
Montparnasse,6,Vendredi,Soleil,79
Noisy-le-Grand,15,Jeudi,Nuageux,159
Massy-Palaiseau,9,Dimanche,Pluie,236
Juvisy,11,Dimanche,Nuageux,2
Nation,18,Lundi,Nuageux,994
Noisy-le-Grand,23,Lundi,Pluie,383
Aéroport CDG 2,6,Vendredi,Nuageux,114
La Défense,13,Mercredi,Soleil,312
Boulogne - Pont de Sèvres,14,Jeudi,Pluie,173
Nation,23,Dimanche,Pluie,213
Gare du Nord,21,Jeudi,Pluie,565
Nation,11,Mercredi,Nuageux,104
Noisy-le-Grand,22,Samedi,Pluie,225
Noisy-le-Grand,10,Vendredi,Soleil,208
Châtelet-Les Halles,13,Samedi,Nuageux,128
Saint-Lazare,12,Vendredi,Nuageux,238
Boulogne - Pont de Sèvres,13,Lundi,Soleil,216
Aéroport CDG 2,5,Mardi,Soleil,82
Cergy-Préfecture,6,Dimanche,Pluie,128
Nation,8,Mardi,Nuageux,435
Châtelet-Les Halles,22,Vendredi,Pluie,608
Cergy-Préfecture,14,Mercredi,Nuageux,75
République,5,Samedi,Nuageux,60
Noisy-le-Grand,14,Mercredi,Soleil,179
Val de Fontenay,13,Mardi,Pluie,172
Noisy-le-Grand,17,Samedi,Nuageux,484
Nanterre-Préfecture,19,Mercredi,Pluie,978
Versailles-Chantiers,22,Mercredi,Nuageux,374
Bercy,17,Dimanche,Pluie,526
Gare de Lyon,9,Dimanche,Nuageux,304
Saint-Lazare,6,Samedi,Pluie,106
Auber / Opéra,11,Jeudi,Pluie,279
Montparnasse,13,Dimanche,Soleil,158
Val de Fontenay,23,Samedi,Pluie,243
Noisy-le-Grand,18,Mercredi,Soleil,667
Nanterre-Préfecture,21,Jeudi,Soleil,290
Aéroport CDG 2,15,Samedi,Pluie,159
Créteil-Préfecture,9,Jeudi,Nuageux,335
Bercy,16,Samedi,Soleil,60
Bercy,13,Mardi,Pluie,270
Val de Fontenay,21,Dimanche,Pluie,196
Versailles-Chantiers,12,Jeudi,Pluie,162
Auber / Opéra,12,Vendredi,Nuageux,206
Juvisy,16,Lundi,Soleil,135
Gare de Lyon,23,Dimanche,Soleil,225
Gare du Nord,14,Jeudi,Nuageux,241
Marne-la-Vallée (Chessy),6,Vendredi,Soleil,96
Noisy-le-Grand,12,Vendredi,Nuageux,196
Neuilly-Plaisance,18,Mercredi,Pluie,692
Auber / Opéra,23,Vendredi,Soleil,401
Gare du Nord,8,Mercredi,Nuageux,490
Noisy-le-Grand,13,Vendredi,Soleil,152
Marne-la-Vallée (Chessy),17,Mardi,Nuageux,796
Massy-Palaiseau,13,Mardi,Soleil,194
République,17,Mardi,Pluie,893
Massy-Palaiseau,20,Mardi,Soleil,235
Nation,5,Samedi,Soleil,52
Gare du Nord,12,Mardi,Nuageux,204
Boulogne - Pont de Sèvres,13,Dimanche,Soleil,115
Noisy-le-Grand,17,Dimanche,Soleil,423
La Défense,21,Vendredi,Nuageux,299
Cergy-Préfecture,13,Jeudi,Nuageux,94
Saint-Lazare,11,Jeudi,Soleil,204
Aéroport CDG 2,14,Jeudi,Nuageux,341
Auber / Opéra,9,Mardi,Nuageux,474
Bercy,21,Mardi,Nuageux,98
République,6,Vendredi,Pluie,56
Gare du Nord,13,Dimanche,Nuageux,195
